strain	date	country	continent
AF164531.1			
AF164532.1			
AF164533.1			
AF164534.1			
AF164535.1			
AF164536.1			
AF164537.1			
AF164538.1			
AF164539.1			
AF164540.1			
AF164541.1			
AF164542.1			
AF164543.1			
AF164544.1			
AF164545.1			
AF164546.1			
AF164547.1			
AF164548.1			
AF164549.1			
AF164550.1			
AF164551.1			
AF164552.1			
AF164553.1			
AF164554.1			
AF164555.1			
AF164556.1			
AF164557.1			
AF164558.1			
AF312381.2			
AF441119.1			
AF484424.1			
AY117135.3		Brazil	South America
AY237111.1			
AY704559.1		Brazil	South America
AY704560.1		Brazil	South America
AY704561.1		Brazil	South America
AY704562.1		Brazil	South America
AY704563.1		Brazil	South America
AY704564.1		Brazil	South America
AY704565.1		Brazil	South America
AY704566.1		Brazil	South America
AY704567.1		Brazil	South America
AY704568.1		Brazil	South America
AY993909.1			
AY993910.1			
AY993911.1			
AY993912.1			
EF467368.1		Brazil	South America
EF467369.1		Brazil	South America
EF467370.1		Brazil	South America
EF467371.1		Brazil	South America
EF467372.1		Brazil	South America
EU561644.1		Brazil	South America
HM107840.1	2005	Brazil	South America
HM107841.1	2006	Brazil	South America
HM107842.1	2007	Brazil	South America
HM470101.1	1996	Brazil	South America
HM470102.1	1996	Brazil	South America
HM470103.1	1980	Brazil	South America
HM470104.1	1980	Brazil	South America
HM470105.1	1988	Brazil	South America
HM470106.1	1988	Brazil	South America
HM470107.1	1960	Brazil	South America
HM470108.1	1961	Brazil	South America
HM470109.1	1961	Brazil	South America
HM470110.1	1967	Brazil	South America
HM470111.1	1968	Brazil	South America
HM470112.1	1973	Brazil	South America
HM470113.1	1975	Brazil	South America
HM470114.1	1978	Brazil	South America
HM470115.1	1978	Brazil	South America
HM470116.1	1978	Brazil	South America
HM470117.1	1979	Brazil	South America
HM470118.1	1979	Brazil	South America
HM470119.1	1980	Brazil	South America
HM470120.1	1980	Brazil	South America
HM470121.1	1980	Brazil	South America
HM470122.1	1994	Brazil	South America
HM470123.1	1994	Brazil	South America
HM470124.1	1994	Brazil	South America
HM470125.1	1994	Brazil	South America
HM470126.1	1994	Brazil	South America
HM470127.1	1996	Brazil	South America
HM470128.1	1996	Brazil	South America
HM470129.1	1996	Brazil	South America
HM470130.1	1996	Brazil	South America
HM470131.1	1996	Brazil	South America
HM470132.1	1996	Brazil	South America
HM470133.1	2006	Brazil	South America
HM470134.1	2006	Brazil	South America
HM470135.1	2006	Brazil	South America
HM470136.1	2006	Brazil	South America
HM470137.1	2006	Brazil	South America
HM470138.1	2006	Brazil	South America
HM470139.1	1990	Brazil	South America
HM470140.1	1991	Brazil	South America
HM470141.1	1991	Brazil	South America
HM470142.1	1991	Brazil	South America
HQ830373.1	1960		
HQ830374.1	1961		
HQ830375.1	1961		
HQ830376.1	1967		
HQ830377.1	1968		
HQ830378.1	1971		
HQ830379.1	1971		
HQ830380.1	1971		
HQ830381.1	1978		
HQ830382.1	1979		
HQ830383.1	1980		
HQ830384.1	1980		
HQ830385.1	1980		
HQ830386.1	1988		
HQ830387.1	1988		
HQ830388.1	1988		
HQ830389.1	1991		
HQ830390.1	1993		
HQ830391.1	1994		
HQ830392.1	1994		
HQ830393.1	1994		
HQ830394.1	1994		
HQ830395.1	1994		
HQ830396.1	1996		
HQ830397.1	1996		
HQ830398.1	1996		
HQ830399.1	1996		
HQ830400.1	2003		
HQ830401.1	2000		
HQ830402.1	2003		
HQ830403.1	2004		
HQ830404.1	2004		
HQ830405.1	2006		
HQ830406.1	2006		
HQ830407.1	2006		
HQ830408.1	1960		
HQ830409.1	1961		
HQ830410.1	1961		
HQ830411.1	1967		
HQ830412.1	1968		
HQ830413.1	1971		
HQ830414.1	1971		
HQ830415.1	1971		
HQ830416.1	1978		
HQ830417.1	1979		
HQ830418.1	1980		
HQ830419.1	1980		
HQ830420.1	1980		
HQ830421.1	1988		
HQ830422.1	1988		
HQ830423.1	1988		
HQ830424.1	1991		
HQ830425.1	1993		
HQ830426.1	1994		
HQ830427.1	1994		
HQ830428.1	1994		
HQ830429.1	1994		
HQ830430.1	1994		
HQ830431.1	1996		
HQ830432.1	1996		
HQ830433.1	1996		
HQ830434.1	1996		
HQ830435.1	2003		
HQ830436.1	2000		
HQ830437.1	2003		
HQ830438.1	2004		
HQ830439.1	2004		
HQ830440.1	2006		
HQ830441.1	2006		
HQ830442.1	2006		
HQ830443.1	1968		
HQ830444.1	1973		
HQ830445.1	1975		
HQ830446.1	1978		
HQ830447.1	1978		
HQ830448.1	1979		
HQ830449.1	1979		
HQ830450.1	1980		
HQ830451.1	1980		
HQ830452.1	1980		
HQ830453.1	1980		
HQ830454.1			
HQ830455.1	1988		
HQ830456.1	1988		
HQ830457.1	1990		
HQ830458.1	1991		
HQ830459.1	1991		
HQ830460.1	1991		
HQ830461.1	1994		
HQ830462.1	1994		
HQ830463.1	1994		
HQ830464.1	1994		
HQ830465.1	1996		
HQ830466.1	1996		
HQ830467.1	1996		
HQ830468.1	1996		
HQ830469.1	1996		
HQ830470.1	1996		
HQ830471.1	1996		
HQ830472.1	1996		
HQ830473.1	2006		
HQ830474.1	2006		
HQ830475.1	2006		
HQ830476.1	2006		
HQ830477.1	2006		
HQ830478.1	2009		
HQ830479.1	2009		
HQ830480.1	2009		
HQ830481.1	2009		
HQ830482.1	2009		
HQ830483.1	2009		
HQ830484.1	2009		
HQ830485.1	2009		
HQ830486.1	2009		
HQ830487.1	2009		
HQ830488.1	2009		
HQ830489.1	2009		
HQ830490.1	2009		
HQ830491.1	2009		
HQ830492.1	2009	Brazil	South America
KC759122.1		Trinidad and Tobago	North America
KC759123.1		Trinidad and Tobago	North America
KC759124.1		Trinidad and Tobago	North America
KC759125.1		Peru	South America
KC759126.1		Peru	South America
KC759127.1		Peru	South America
KC759128.1		Panama	North America
KC759129.1		Panama	North America
KC759130.1		Panama	North America
KF150505.1	2004	Ecuador	South America
KF150506.1	2003	Peru	South America
KF150507.1	2005	Peru	South America
KF150508.1	2005	Peru	South America
KF150509.1	2005	Peru	South America
KF150510.1	2005	Peru	South America
KF150511.1	2005	Peru	South America
KF150512.1	2005	Peru	South America
KF150513.1	2005	Peru	South America
KF150514.1	2006	Peru	South America
KF150515.1	2006	Peru	South America
KF150516.1	2006	Peru	South America
KF150517.1	2006	Peru	South America
KF150518.1	2006	Peru	South America
KF150519.1	2006	Peru	South America
KF150520.1	2006	Peru	South America
KF150521.1	1999	Peru	South America
KF150522.1	2005	Peru	South America
KF150523.1	2005	Peru	South America
KF150524.1	2005	Peru	South America
