strain	date	country	continent
AB908162.1	2014-01-06	French Polynesia	Oceania
AF013415.1			
AF372422.1			
AY326412.1			
AY632535.2		Uganda	Africa
DI450454.1			
DQ859059.1		Uganda	Africa
EU074027.1		Uganda	Africa
EU303241.1			
EU545988.1	2007-06	Micronesia	Oceania
HQ234498.1	1947	Uganda	Africa
HQ234499.1	1966	Malaysia	Asia
HW822069.1			
JC303440.1			
JN860885.1	2010	Cambodia	Asia
KF258813.1	2012	Indonesia	Asia
KF268948.1	1976	Central African Republic	Africa
KF268949.1		Central African Republic	Africa
KF268950.1		Central African Republic	Africa
KF270886.1	2007	Gabon	Africa
KF270887.1	2007	Gabon	Africa
KF383015.1	2001	Senegal	Africa
KF383016.1	2001	Senegal	Africa
KF383017.1	2001	Senegal	Africa
KF383018.1	2000	Senegal	Africa
KF383019.1	1998	Senegal	Africa
KF383020.1	1980	Cote d'Ivoire	Africa
KF383021.1	1998	Senegal	Africa
KF383022.1	1997	Senegal	Africa
KF383023.1	1997	Senegal	Africa
KF383024.1	1997	Senegal	Africa
KF383025.1	1997	Senegal	Africa
KF383026.1	1997	Senegal	Africa
KF383027.1	1997	Senegal	Africa
KF383028.1	2002	Senegal	Africa
KF383029.1	2002	Senegal	Africa
KF383030.1	1981	Burkina Faso	Africa
KF383031.1	1969	Senegal	Africa
KF383032.1	1979	Senegal	Africa
KF383033.1	1979	Senegal	Africa
KF383034.1	1979	Senegal	Africa
KF383035.1	1963	Uganda	Africa
KF383036.1	1999	Cote d'Ivoire	Africa
KF383037.1	1996	Cote d'Ivoire	Africa
KF383038.1	1999	Cote d'Ivoire	Africa
KF383039.1	1991	Senegal	Africa
KF383040.1	1990	Cote d'Ivoire	Africa
KF383041.1	1990	Cote d'Ivoire	Africa
KF383042.1	1990	Cote d'Ivoire	Africa
KF383043.1	1990	Cote d'Ivoire	Africa
KF383044.1	1990	Cote d'Ivoire	Africa
KF383045.1	1990	Cote d'Ivoire	Africa
KF383046.1	1999	Cote d'Ivoire	Africa
KF383047.1	1991	Senegal	Africa
KF383048.1	1969	Senegal	Africa
KF383049.1	1968	Senegal	Africa
KF383050.1	1979	Senegal	Africa
KF383051.1	1979	Senegal	Africa
KF383052.1	2002	Senegal	Africa
KF383053.1	2002	Senegal	Africa
KF383054.1	2001	Senegal	Africa
KF383055.1	2001	Senegal	Africa
KF383056.1	2001	Senegal	Africa
KF383057.1	2001	Senegal	Africa
KF383058.1	2001	Senegal	Africa
KF383059.1	2000	Senegal	Africa
KF383060.1	2000	Senegal	Africa
KF383061.1	1998	Senegal	Africa
KF383062.1	1998	Senegal	Africa
KF383063.1	1997	Senegal	Africa
KF383064.1	1997	Senegal	Africa
KF383065.1	1997	Senegal	Africa
